Número de entradas,Inicializador de pesos,Taxa de aprendizado,Função de ativacao,Limiar,Ciclos executados,Épocas executadas,Melhores pesos,Acurácia
2,aleatorios,0.001,sigmoid,1,300,1200,[-0.23493939  0.2867577   0.39157828],0.0
2,aleatorios,0.001,tanh,1,300,1200,[-0.01882043  0.80270502  0.09113774],0.0
2,aleatorios,0.001,relu,1,300,1200,[0.14578278 0.01039402 0.48981931],0.0
2,aleatorios,0.001,softmax,1,300,1200,[-0.13914415  0.61158339  0.27473513],0.25
2,aleatorios_uniformes,0.001,step,1,300,1200,[-0.15739697  0.1562958   0.28183915],0.75
2,aleatorios_uniformes,0.001,sigmoid,1,300,1200,[0.24130774 0.67777705 0.05303089],0.0
2,aleatorios_uniformes,0.001,tanh,1,300,1200,[0.21778338 0.2673651  0.06960534],0.0
2,aleatorios_uniformes,0.001,relu,1,300,1200,[0.0782863  0.15198428 0.28424656],0.0
2,aleatorios_uniformes,0.001,softmax,1,300,1200,[-0.66836927  0.1052687   0.00493689],0.25
2,aleatorios_normal,0.001,step,1,300,1200,[-0.51290918 -1.65498155 -0.85587005],0.75
2,aleatorios_normal,0.001,sigmoid,1,300,1200,[-0.26431574 -1.01057905  0.50221974],0.0
2,aleatorios_normal,0.001,tanh,1,300,1200,[-0.00202805  0.00742375  0.30863427],0.0
2,aleatorios_normal,0.001,relu,1,300,1200,[-1.2143873  -0.06137953  2.18913042],0.5
2,aleatorios_normal,0.001,softmax,1,300,1200,[-0.85555809 -0.01233053 -0.51558298],0.25
2,zeros,0.2,step,1,6,24,[-0.4  0.4  0.2],1.0
2,zeros,0.2,sigmoid,1,300,1200,[-7.1404557   4.6687124   4.64955101],0.0
2,zeros,0.2,tanh,1,300,1200,[-0.35474984  0.70949968  0.64138344],0.0
2,zeros,0.2,relu,1,300,1200,[-0.99999873  0.99999929  0.99999918],0.25
2,zeros,0.2,softmax,1,300,1200,[-180.  -60.  -60.],0.25
2,uns,0.2,step,1,4,16,[-0.6  0.4  0.4],1.0
2,uns,0.2,sigmoid,1,300,1200,[-7.17421151  4.69103085  4.67206579],0.0
2,uns,0.2,tanh,1,300,1200,[-0.35474984  0.70949968  0.64138344],0.0
2,uns,0.2,relu,1,300,1200,[-0.99999908  0.99999949  0.9999994 ],0.25
2,uns,0.2,softmax,1,300,1200,[-179.  -59.  -59.],0.25
2,aleatorios,0.2,step,1,7,28,[-0.5097926   0.46449305  0.17955169],1.0
2,aleatorios,0.2,sigmoid,1,300,1200,[-7.17107919  4.68905653  4.66987919],0.0
2,aleatorios,0.2,tanh,1,300,1200,[-0.35474984  0.70949968  0.64138344],0.0
2,aleatorios,0.2,relu,1,300,1200,[-0.99999882  0.99999934  0.99999923],0.25
2,aleatorios,0.2,softmax,1,300,1200,[-179.59494253  -59.47097842  -59.8587478 ],0.25
2,aleatorios_uniformes,0.2,step,1,10,40,[-0.64493425  0.53166549  0.28286328],1.0
2,aleatorios_uniformes,0.2,sigmoid,1,300,1200,[-7.17489666  4.69143298  4.67257401],0.0
2,aleatorios_uniformes,0.2,tanh,1,300,1200,[-0.35474984  0.70949968  0.64138344],0.0
2,aleatorios_uniformes,0.2,relu,1,300,1200,[-0.99999889  0.99999938  0.99999928],0.25
2,aleatorios_uniformes,0.2,softmax,1,300,1200,[-179.51337237  -59.31971006  -59.78142754],0.25
2,aleatorios_normal,0.2,step,1,4,16,[-0.74045501  0.36377957  0.52548986],1.0
2,aleatorios_normal,0.2,sigmoid,1,300,1200,[-7.08524777  4.63227882  4.6126596 ],0.0
2,aleatorios_normal,0.2,tanh,1,300,1200,[-0.35474984  0.70949968  0.64138344],0.0
2,aleatorios_normal,0.2,relu,1,300,1200,[-0.99999864  0.99999924  0.99999912],0.25
2,aleatorios_normal,0.2,softmax,1,300,1200,[-179.68977017  -59.28158768  -59.73808278],0.25
2,zeros,0.9,step,1,6,24,[-1.8  1.8  0.9],1.0
2,zeros,0.9,sigmoid,1,300,1200,[-11.72591118   7.73749819   7.71732864],0.0
2,zeros,0.9,tanh,1,300,1200,[-0.99212499  1.98424998  1.30180971],0.0
2,zeros,0.9,relu,1,300,1200,[-2.69195195  2.55528906  2.55131323],0.75
2,zeros,0.9,softmax,1,300,1200,[-810. -270. -270.],0.25
2,uns,0.9,step,1,6,24,[-2.6  1.9  1. ],1.0
2,uns,0.9,sigmoid,1,300,1200,[-11.73461262   7.74320589   7.72309471],0.0
2,uns,0.9,tanh,1,300,1200,[-0.99212499  1.98424998  1.30180971],0.0
2,uns,0.9,relu,1,300,1200,[-2.98086081  2.23812626  2.20337638],0.75
2,uns,0.9,softmax,1,300,1200,[-809. -269. -269.],0.25
2,aleatorios,0.9,step,1,2,8,[-0.522408    0.32808689  0.48249602],1.0
2,aleatorios,0.9,sigmoid,1,300,1200,[-11.73000717   7.74018492   7.72004286],0.0
2,aleatorios,0.9,tanh,1,300,1200,[-0.99212499  1.98424998  1.30180971],0.0
2,aleatorios,0.9,relu,1,300,1200,[-2.67516897  2.63241242  2.60694677],0.75
2,aleatorios,0.9,softmax,1,300,1200,[-809.82156794 -269.42477819 -269.98486841],0.25
2,aleatorios_uniformes,0.9,step,1,6,24,[-2.55143553  2.10495972  0.88735929],1.0
2,aleatorios_uniformes,0.9,sigmoid,1,300,1200,[-11.73365168   7.74257552   7.72245794],0.0
2,aleatorios_uniformes,0.9,tanh,1,300,1200,[-0.99212499  1.98424998  1.30180971],0.0
2,aleatorios_uniformes,0.9,relu,1,300,1200,[-3.00901586  2.22670298  2.22245111],0.75
2,aleatorios_uniformes,0.9,softmax,1,300,1200,[-809.22977078 -269.59814435 -269.67351052],0.25
2,aleatorios_normal,0.9,step,1,4,16,[-1.29379944  1.15237682  0.21469012],1.0
2,aleatorios_normal,0.9,sigmoid,1,300,1200,[-11.71680744   7.73152691   7.71129607],0.0
2,aleatorios_normal,0.9,tanh,1,300,1200,[-0.99212499  1.98424998  1.30180971],0.0
2,aleatorios_normal,0.9,relu,1,300,1200,[-3.96694248  1.26218255  1.22743091],0.75
2,aleatorios_normal,0.9,softmax,1,300,1200,[-811.51599042 -271.08624251 -269.28624733],0.25
