Número de entradas,Inicializador de pesos,Taxa de aprendizado,Função de ativacao,Limiar,Ciclos executados,Épocas executadas,Melhores pesos,Acurácia
2,aleatorios,0.001,step,1,300,1200,[0.42328644 0.89161833 0.76584614],0.75
2,aleatorios,0.001,sigmoid,1,300,1200,[0.38341113 0.39872769 1.09900227],0.0
2,aleatorios,0.001,tanh,1,300,1200,[0.37946711 0.8429522  0.67258379],0.0
2,aleatorios,0.001,relu,1,300,1200,[0.14245343 0.67624831 0.67987327],0.0
2,aleatorios,0.001,softmax,1,300,1200,[-0.26049778  0.27668569  0.65576705],0.75
2,aleatorios_uniformes,0.001,step,1,300,1200,[0.12770095 0.72482302 0.28288179],0.75
2,aleatorios_uniformes,0.001,sigmoid,1,300,1200,[0.65563247 0.38808796 0.18085817],0.0
2,aleatorios_uniformes,0.001,tanh,1,300,1200,[0.32295216 0.65341762 0.72354405],0.0
2,aleatorios_uniformes,0.001,relu,1,300,1200,[0.1247742  0.59128982 0.61931748],0.0
2,aleatorios_uniformes,0.001,softmax,1,300,1200,[0.54564183 0.6249176  0.41667361],0.75
2,aleatorios_normal,0.001,step,1,300,1200,[ 0.54473022 -0.16098734 -0.19195293],0.75
2,aleatorios_normal,0.001,sigmoid,1,300,1200,[ 0.34969584 -1.47404368  0.83158832],0.0
2,aleatorios_normal,0.001,tanh,1,300,1200,[ 0.85642729  0.58208261 -0.77115349],0.0
2,aleatorios_normal,0.001,relu,1,300,1200,[-0.34590366  0.72648529  1.05358137],0.25
2,aleatorios_normal,0.001,softmax,1,300,1200,[-1.11331858 -0.08846649 -0.24799803],0.75
2,zeros,0.2,step,1,4,16,[0.  0.2 0.2],1.0
2,zeros,0.2,sigmoid,1,300,1200,[-2.38110231  5.7506252   5.76215978],0.0
2,zeros,0.2,tanh,1,300,1200,[0.01842508 2.67917346 2.68579435],0.0
2,zeros,0.2,relu,1,300,1200,[0.3125 0.375  0.4375],0.0
2,zeros,0.2,softmax,1,300,1200,[-60.   0.   0.],0.75
2,uns,0.2,step,1,7,28,[-0.2  1.   1. ],1.0
2,uns,0.2,sigmoid,1,300,1200,[-2.40509721  5.79707991  5.80798984],0.0
2,uns,0.2,tanh,1,300,1200,[0.01763112 2.70244205 2.70723336],0.0
2,uns,0.2,relu,1,300,1200,[0.3125 0.375  0.4375],0.0
2,uns,0.2,softmax,1,300,1200,[-59.   1.   1.],0.75
2,aleatorios,0.2,step,1,6,24,[-0.10078989  0.69398419  0.84073489],1.0
2,aleatorios,0.2,sigmoid,1,300,1200,[-2.39323325  5.77183472  5.78763742],0.0
2,aleatorios,0.2,tanh,1,300,1200,[0.01767777 2.70258278 2.70440121],0.0
2,aleatorios,0.2,relu,1,300,1200,[0.3125 0.375  0.4375],0.0
2,aleatorios,0.2,softmax,1,300,1200,[-59.10769617   0.67408465   0.64999397],0.75
2,aleatorios_uniformes,0.2,step,1,3,12,[-0.02691077  0.20408817  0.04062595],1.0
2,aleatorios_uniformes,0.2,sigmoid,1,300,1200,[-2.40788269  5.79974241  5.81609775],0.0
2,aleatorios_uniformes,0.2,tanh,1,300,1200,[0.01831494 2.67790939 2.69324552],0.0
2,aleatorios_uniformes,0.2,relu,1,300,1200,[0.3125 0.375  0.4375],0.0
2,aleatorios_uniformes,0.2,softmax,1,300,1200,[-59.74003242   0.64083666   0.29630946],0.75
2,aleatorios_normal,0.2,step,1,9,36,[-0.17538933  0.34978877  0.25026183],1.0
2,aleatorios_normal,0.2,sigmoid,1,300,1200,[-2.42903748  5.84095518  5.85632151],0.0
2,aleatorios_normal,0.2,tanh,1,300,1200,[0.0121214  2.69631135 3.231759  ],0.0
2,aleatorios_normal,0.2,relu,1,300,1200,[0.3125 0.375  0.4375],0.0
2,aleatorios_normal,0.2,softmax,1,300,1200,[-61.38975986   2.11445154   0.37861705],0.75
2,zeros,0.9,step,1,4,16,[0.  0.9 0.9],1.0
2,zeros,0.9,sigmoid,1,300,1200,[-3.96281119  8.86311027  8.87607578],0.0
2,zeros,0.9,tanh,1,300,1200,[0.0037341  3.48376098 3.49367034],0.0
2,zeros,0.9,relu,1,300,1200,[ 0.99998862 -1.28384217 -0.41617017],0.0
2,zeros,0.9,softmax,1,300,1200,[-270.    0.    0.],0.75
2,uns,0.9,step,1,3,12,[-0.8  1.   1. ],1.0
2,uns,0.9,sigmoid,1,300,1200,[-3.96856521  8.87454128  8.88734469],0.0
2,uns,0.9,tanh,1,300,1200,[0.00370429 3.48883508 3.49658516],0.0
2,uns,0.9,relu,1,300,1200,[ 1.00000623 -1.14515445 -0.5548388 ],0.0
2,uns,0.9,softmax,1,300,1200,[-269.    1.    1.],0.75
2,aleatorios,0.9,step,1,2,8,[-0.52097522  0.88264646  0.87598937],1.0
2,aleatorios,0.9,sigmoid,1,300,1200,[-3.96833926  8.87417445  8.88681862],0.0
2,aleatorios,0.9,tanh,1,300,1200,[0.0037274  3.48486345 3.49435785],0.0
2,aleatorios,0.9,relu,1,300,1200,[ 1.00000378 -1.12505166 -0.57494424],0.0
2,aleatorios,0.9,softmax,1,300,1200,[-2.69748345e+02  6.77698492e-02  2.90620977e-01],0.75
2,aleatorios_uniformes,0.9,step,1,4,16,[-0.88692139  1.75752685  1.66821562],1.0
2,aleatorios_uniformes,0.9,sigmoid,1,300,1200,[-3.96804236  8.87356981  8.88625222],0.0
2,aleatorios_uniformes,0.9,tanh,1,300,1200,[0.00373176 3.48453838 3.49351212],0.0
2,aleatorios_uniformes,0.9,relu,1,300,1200,[ 0.99999197 -1.24618565 -0.45382305],0.0
2,aleatorios_uniformes,0.9,softmax,1,300,1200,[-269.4357921     0.94777792    0.85639591],0.75
2,aleatorios_normal,0.9,step,1,6,24,[-0.2507613   0.53655684  0.42654269],1.0
2,aleatorios_normal,0.9,sigmoid,1,300,1200,[-3.96421458  8.86590781  8.87881435],0.0
2,aleatorios_normal,0.9,tanh,1,300,1200,[0.0036699  3.48684599 3.50809098],0.0
2,aleatorios_normal,0.9,relu,1,300,1200,[ 0.99999385 -1.13586961 -0.56413706],0.0
2,aleatorios_normal,0.9,softmax,1,300,1200,[-270.81903446    1.46425568    0.92453463],0.75
